Iterations,Accuracy (%),Agg,NonIID,Group
0,87.6201923076923,Gossip,False,global
30,92.17748397435898,Gossip,False,global
60,93.40945512820512,Gossip,False,global
90,94.12059294871794,Gossip,False,global
120,94.77163461538461,Gossip,False,global
150,95.10216346153847,Gossip,False,global
180,95.3125,Gossip,False,global
210,95.69310897435898,Gossip,False,global
240,95.64302884615384,Gossip,False,global
270,95.60296474358974,Gossip,False,global
300,95.8233173076923,Gossip,False,global
330,95.88341346153847,Gossip,False,global
360,95.90344551282051,Gossip,False,global
390,96.06370192307692,Gossip,False,global
420,95.94350961538461,Gossip,False,global
450,96.32411858974359,Gossip,False,global
480,96.34415064102564,Gossip,False,global
510,96.4042467948718,Gossip,False,global
540,96.32411858974359,Gossip,False,global
570,96.37419871794872,Gossip,False,global
600,96.39423076923077,Gossip,False,global
630,96.35416666666667,Gossip,False,global
660,96.35416666666667,Gossip,False,global
690,96.39423076923077,Gossip,False,global
720,96.4443108974359,Gossip,False,global
750,96.4443108974359,Gossip,False,global
780,96.45432692307692,Gossip,False,global
810,96.43429487179488,Gossip,False,global
840,96.42427884615384,Gossip,False,global
870,96.43429487179488,Gossip,False,global
0,86.72876602564102,Gossip,False,clique 1
30,91.73677884615384,Gossip,False,clique 1
60,93.2792467948718,Gossip,False,clique 1
90,93.60977564102564,Gossip,False,clique 1
120,94.39102564102564,Gossip,False,clique 1
150,94.71153846153847,Gossip,False,clique 1
180,94.81169871794872,Gossip,False,clique 1
210,95.24238782051282,Gossip,False,clique 1
240,94.74158653846153,Gossip,False,clique 1
270,95.03205128205128,Gossip,False,clique 1
300,95.09214743589743,Gossip,False,clique 1
330,94.69150641025641,Gossip,False,clique 1
360,95.06209935897436,Gossip,False,clique 1
390,95.96354166666667,Gossip,False,clique 1
420,95.25240384615384,Gossip,False,clique 1
450,96.12379807692308,Gossip,False,clique 1
480,96.32411858974359,Gossip,False,clique 1
510,96.3641826923077,Gossip,False,clique 1
540,96.32411858974359,Gossip,False,clique 1
570,96.34415064102564,Gossip,False,clique 1
600,96.29407051282051,Gossip,False,clique 1
630,96.33413461538461,Gossip,False,clique 1
660,96.3641826923077,Gossip,False,clique 1
690,96.35416666666667,Gossip,False,clique 1
720,96.37419871794872,Gossip,False,clique 1
750,96.35416666666667,Gossip,False,clique 1
