Iterations,Accuracy (%),Agg,NonIID,Group
0,9.985977564102564,Gossip,True,global
9999,9.985977564102564,Gossip,True,global
19998,10.627003205128204,Gossip,True,global
29997,10.01602564102564,Gossip,True,global
39996,10.146233974358974,Gossip,True,global
49995,4.777644230769231,Gossip,True,global
59994,11.177884615384615,Gossip,True,global
69993,12.510016025641026,Gossip,True,global
79992,26.001602564102566,Gossip,True,global
89991,25.80128205128205,Gossip,True,global
99990,30.438701923076923,Gossip,True,global
109989,33.39342948717949,Gossip,True,global
119988,34.73557692307692,Gossip,True,global
129987,35.08613782051282,Gossip,True,global
139986,39.66346153846154,Gossip,True,global
149985,42.06730769230769,Gossip,True,global
159984,44.1005608974359,Gossip,True,global
169983,44.11057692307692,Gossip,True,global
179982,43.54967948717949,Gossip,True,global
189981,47.19551282051282,Gossip,True,global
199980,51.38221153846154,Gossip,True,global
209979,49.85977564102564,Gossip,True,global
219978,51.79286858974359,Gossip,True,global
229977,55.62900641025641,Gossip,True,global
239976,53.986378205128204,Gossip,True,global
249975,56.02964743589744,Gossip,True,global
259974,59.16466346153846,Gossip,True,global
269973,58.29326923076923,Gossip,True,global
279972,61.07772435897436,Gossip,True,global
289971,63.40144230769231,Gossip,True,global
299970,64.65344551282051,Gossip,True,global
309969,64.22275641025641,Gossip,True,global
319968,63.90224358974359,Gossip,True,global
329967,63.97235576923077,Gossip,True,global
339966,64.69350961538461,Gossip,True,global
349965,65.94551282051282,Gossip,True,global
359964,65.07411858974359,Gossip,True,global
369963,65.59495192307692,Gossip,True,global
379962,65.20432692307692,Gossip,True,global
389961,67.66826923076923,Gossip,True,global
399960,67.71834935897436,Gossip,True,global
409959,67.66826923076923,Gossip,True,global
419958,68.30929487179488,Gossip,True,global
429957,68.16907051282051,Gossip,True,global
439956,67.76842948717949,Gossip,True,global
449955,67.51802884615384,Gossip,True,global
459954,68.76001602564102,Gossip,True,global
469953,67.56810897435898,Gossip,True,global
479952,68.17908653846153,Gossip,True,global
489951,70.45272435897436,Gossip,True,global
499950,69.56129807692308,Gossip,True,global
509949,69.62139423076923,Gossip,True,global
519948,69.74158653846153,Gossip,True,global
529947,68.86017628205128,Gossip,True,global
539946,70.18229166666667,Gossip,True,global
549945,70.51282051282051,Gossip,True,global
559944,69.17067307692308,Gossip,True,global
569943,69.11057692307692,Gossip,True,global
579942,70.09214743589743,Gossip,True,global
589941,70.65304487179488,Gossip,True,global
599940,69.6514423076923,Gossip,True,global
609939,70.51282051282051,Gossip,True,global
619938,69.83173076923077,Gossip,True,global
629937,70.36258012820512,Gossip,True,global
639936,69.5713141025641,Gossip,True,global
649935,69.6113782051282,Gossip,True,global
659934,70.69310897435898,Gossip,True,global
669933,70.56290064102564,Gossip,True,global
679932,70.65304487179488,Gossip,True,global
689931,72.54607371794872,Gossip,True,global
699930,72.01522435897436,Gossip,True,global
709929,70.51282051282051,Gossip,True,global
719928,70.6630608974359,Gossip,True,global
729927,66.20592948717949,Gossip,True,global
739926,69.74158653846153,Gossip,True,global
749925,70.36258012820512,Gossip,True,global
759924,70.92347756410257,Gossip,True,global
769923,69.43108974358974,Gossip,True,global
779922,70.80328525641026,Gossip,True,global
789921,71.14383012820512,Gossip,True,global
799920,73.10697115384616,Gossip,True,global
809919,73.71794871794872,Gossip,True,global
819918,73.17708333333333,Gossip,True,global
829917,73.02684294871794,Gossip,True,global
839916,73.26722756410257,Gossip,True,global
849915,72.98677884615384,Gossip,True,global
859914,72.95673076923077,Gossip,True,global
869913,73.06690705128206,Gossip,True,global
879912,73.62780448717949,Gossip,True,global
889911,73.22716346153847,Gossip,True,global
899910,73.1270032051282,Gossip,True,global
909909,73.32732371794872,Gossip,True,global
919908,72.44591346153847,Gossip,True,global
929907,72.95673076923077,Gossip,True,global
939906,73.0068108974359,Gossip,True,global
949905,73.24719551282051,Gossip,True,global
959904,73.42748397435898,Gossip,True,global
969903,73.41746794871794,Gossip,True,global
979902,73.61778846153847,Gossip,True,global
989901,73.9082532051282,Gossip,True,global
999900,73.49759615384616,Gossip,True,global
1009899,72.89663461538461,Gossip,True,global
1019898,73.38741987179488,Gossip,True,global
1029897,73.046875,Gossip,True,global
