Iterations,Accuracy (%),Agg,Bucketing,RandomEdge,Group
0,81.07972756410257,Gossip,False,False,global
30,86.81891025641026,Gossip,False,False,global
60,87.33974358974359,Gossip,False,False,global
90,88.46153846153847,Gossip,False,False,global
120,89.17267628205128,Gossip,False,False,global
150,89.59334935897436,Gossip,False,False,global
180,89.93389423076923,Gossip,False,False,global
210,90.04407051282051,Gossip,False,False,global
240,90.46474358974359,Gossip,False,False,global
270,90.61498397435898,Gossip,False,False,global
300,90.73517628205128,Gossip,False,False,global
330,91.15584935897436,Gossip,False,False,global
360,92.11738782051282,Gossip,False,False,global
390,92.15745192307692,Gossip,False,False,global
420,92.41786858974359,Gossip,False,False,global
450,92.55809294871794,Gossip,False,False,global
480,92.60817307692308,Gossip,False,False,global
510,92.71834935897436,Gossip,False,False,global
540,92.85857371794872,Gossip,False,False,global
570,92.89863782051282,Gossip,False,False,global
600,93.05889423076923,Gossip,False,False,global
630,93.0088141025641,Gossip,False,False,global
660,92.83854166666667,Gossip,False,False,global
690,93.0088141025641,Gossip,False,False,global
720,93.20913461538461,Gossip,False,False,global
750,93.21915064102564,Gossip,False,False,global
780,93.19911858974359,Gossip,False,False,global
810,93.21915064102564,Gossip,False,False,global
840,93.22916666666667,Gossip,False,False,global
870,93.24919871794872,Gossip,False,False,global
0,49.38902243589744,Gossip,False,False,clique 1
30,49.98998397435897,Gossip,False,False,clique 1
60,49.69951923076923,Gossip,False,False,clique 1
90,50.260416666666664,Gossip,False,False,clique 1
120,51.75280448717949,Gossip,False,False,clique 1
150,52.66426282051282,Gossip,False,False,clique 1
180,53.92628205128205,Gossip,False,False,clique 1
210,54.90785256410256,Gossip,False,False,clique 1
240,55.78926282051282,Gossip,False,False,clique 1
270,57.321714743589745,Gossip,False,False,clique 1
300,57.69230769230769,Gossip,False,False,clique 1
330,58.39342948717949,Gossip,False,False,clique 1
360,60.37660256410256,Gossip,False,False,clique 1
390,58.6338141025641,Gossip,False,False,clique 1
420,60.53685897435897,Gossip,False,False,clique 1
450,61.80889423076923,Gossip,False,False,clique 1
480,62.890625,Gossip,False,False,clique 1
510,63.29126602564103,Gossip,False,False,clique 1
540,64.19270833333333,Gossip,False,False,clique 1
570,64.5733173076923,Gossip,False,False,clique 1
600,65.1141826923077,Gossip,False,False,clique 1
630,65.77524038461539,Gossip,False,False,clique 1
660,66.54647435897436,Gossip,False,False,clique 1
690,67.13741987179488,Gossip,False,False,clique 1
720,67.6983173076923,Gossip,False,False,clique 1
750,68.3193108974359,Gossip,False,False,clique 1
780,68.80008012820512,Gossip,False,False,clique 1
810,69.33092948717949,Gossip,False,False,clique 1
840,69.72155448717949,Gossip,False,False,clique 1
870,70.17227564102564,Gossip,False,False,clique 1
0,44.20072115384615,Gossip,False,False,clique 2
30,45.85336538461539,Gossip,False,False,clique 2
60,46.30408653846154,Gossip,False,False,clique 2
90,46.985176282051285,Gossip,False,False,clique 2
120,48.89823717948718,Gossip,False,False,clique 2
150,50.38060897435897,Gossip,False,False,clique 2
180,51.272035256410255,Gossip,False,False,clique 2
210,52.34375,Gossip,False,False,clique 2
240,54.73758012820513,Gossip,False,False,clique 2
270,50.891426282051285,Gossip,False,False,clique 2
300,52.48397435897436,Gossip,False,False,clique 2
330,53.11498397435897,Gossip,False,False,clique 2
360,56.05969551282051,Gossip,False,False,clique 2
390,58.19310897435897,Gossip,False,False,clique 2
420,58.92427884615385,Gossip,False,False,clique 2
450,58.493589743589745,Gossip,False,False,clique 2
480,62.16947115384615,Gossip,False,False,clique 2
510,63.49158653846154,Gossip,False,False,clique 2
540,64.85376602564102,Gossip,False,False,clique 2
570,65.43469551282051,Gossip,False,False,clique 2
600,66.40625,Gossip,False,False,clique 2
630,66.29607371794872,Gossip,False,False,clique 2
660,65.81530448717949,Gossip,False,False,clique 2
690,67.31770833333333,Gossip,False,False,clique 2
720,68.28926282051282,Gossip,False,False,clique 2
750,69.40104166666667,Gossip,False,False,clique 2
780,69.83173076923077,Gossip,False,False,clique 2
810,70.67307692307692,Gossip,False,False,clique 2
840,71.33413461538461,Gossip,False,False,clique 2
870,71.9551282051282,Gossip,False,False,clique 2
0,81.5604967948718,Gossip,False,True,global
30,87.15945512820512,Gossip,False,True,global
60,88.68189102564102,Gossip,False,True,global
90,89.43309294871794,Gossip,False,True,global
120,89.93389423076923,Gossip,False,True,global
150,90.28445512820512,Gossip,False,True,global
180,90.24439102564102,Gossip,False,True,global
210,90.52483974358974,Gossip,False,True,global
240,91.35616987179488,Gossip,False,True,global
270,90.98557692307692,Gossip,False,True,global
300,91.6766826923077,Gossip,False,True,global
330,92.15745192307692,Gossip,False,True,global
360,92.27764423076923,Gossip,False,True,global
390,92.98878205128206,Gossip,False,True,global
420,92.82852564102564,Gossip,False,True,global
450,92.9286858974359,Gossip,False,True,global
480,93.0088141025641,Gossip,False,True,global
510,92.94871794871794,Gossip,False,True,global
540,92.98878205128206,Gossip,False,True,global
570,93.12900641025641,Gossip,False,True,global
600,93.33934294871794,Gossip,False,True,global
630,93.45953525641026,Gossip,False,True,global
660,93.50961538461539,Gossip,False,True,global
690,93.59975961538461,Gossip,False,True,global
720,93.54967948717949,Gossip,False,True,global
750,93.42948717948718,Gossip,False,True,global
780,93.49959935897436,Gossip,False,True,global
810,93.57972756410257,Gossip,False,True,global
840,93.55969551282051,Gossip,False,True,global
870,93.58974358974359,Gossip,False,True,global
0,49.33894230769231,Gossip,False,True,clique 1
30,50.05008012820513,Gossip,False,True,clique 1
60,51.88301282051282,Gossip,False,True,clique 1
90,53.826121794871796,Gossip,False,True,clique 1
120,54.89783653846154,Gossip,False,True,clique 1
150,55.88942307692308,Gossip,False,True,clique 1
180,57.45192307692308,Gossip,False,True,clique 1
210,58.60376602564103,Gossip,False,True,clique 1
240,59.92588141025641,Gossip,False,True,clique 1
270,60.9375,Gossip,False,True,clique 1
300,62.419871794871796,Gossip,False,True,clique 1
330,62.26963141025641,Gossip,False,True,clique 1
360,65.3545673076923,Gossip,False,True,clique 1
390,62.98076923076923,Gossip,False,True,clique 1
420,65.83533653846153,Gossip,False,True,clique 1
450,68.30929487179488,Gossip,False,True,clique 1
480,68.96033653846153,Gossip,False,True,clique 1
510,70.3926282051282,Gossip,False,True,clique 1
540,71.28405448717949,Gossip,False,True,clique 1
570,71.9551282051282,Gossip,False,True,clique 1
600,72.41586538461539,Gossip,False,True,clique 1
630,73.21714743589743,Gossip,False,True,clique 1
660,74.00841346153847,Gossip,False,True,clique 1
690,74.71955128205128,Gossip,False,True,clique 1
720,75.09014423076923,Gossip,False,True,clique 1
750,75.55088141025641,Gossip,False,True,clique 1
780,75.91145833333333,Gossip,False,True,clique 1
810,76.45232371794872,Gossip,False,True,clique 1
840,76.9931891025641,Gossip,False,True,clique 1
870,77.37379807692308,Gossip,False,True,clique 1
0,44.16065705128205,Gossip,False,True,clique 2
30,45.91346153846154,Gossip,False,True,clique 2
60,48.07692307692308,Gossip,False,True,clique 2
90,50.61097756410256,Gossip,False,True,clique 2
120,53.72596153846154,Gossip,False,True,clique 2
150,56.08974358974359,Gossip,False,True,clique 2
180,58.19310897435897,Gossip,False,True,clique 2
210,57.33173076923077,Gossip,False,True,clique 2
240,54.797676282051285,Gossip,False,True,clique 2
270,58.29326923076923,Gossip,False,True,clique 2
300,58.463541666666664,Gossip,False,True,clique 2
330,57.8525641025641,Gossip,False,True,clique 2
360,61.10777243589744,Gossip,False,True,clique 2
390,62.46995192307692,Gossip,False,True,clique 2
420,65.06410256410257,Gossip,False,True,clique 2
450,67.9286858974359,Gossip,False,True,clique 2
480,69.08052884615384,Gossip,False,True,clique 2
510,69.70152243589743,Gossip,False,True,clique 2
540,70.10216346153847,Gossip,False,True,clique 2
570,71.37419871794872,Gossip,False,True,clique 2
600,72.5360576923077,Gossip,False,True,clique 2
630,73.92828525641026,Gossip,False,True,clique 2
660,73.54767628205128,Gossip,False,True,clique 2
690,73.828125,Gossip,False,True,clique 2
720,74.78966346153847,Gossip,False,True,clique 2
750,74.42908653846153,Gossip,False,True,clique 2
780,76.2520032051282,Gossip,False,True,clique 2
810,76.49238782051282,Gossip,False,True,clique 2
840,76.86298076923077,Gossip,False,True,clique 2
870,77.10336538461539,Gossip,False,True,clique 2
0,78.83613782051282,GM,False,False,global
30,84.54527243589743,GM,False,False,global
60,85.9375,GM,False,False,global
90,86.72876602564102,GM,False,False,global
120,86.81891025641026,GM,False,False,global
150,87.66025641025641,GM,False,False,global
180,87.60016025641026,GM,False,False,global
