Iterations,Accuracy (%),Agg,ATK,Group,H.M.E.
0,84.28485576923077,SCClip,IPM,global,False
30,89.70352564102564,SCClip,IPM,global,False
60,90.69511217948718,SCClip,IPM,global,False
90,90.96554487179488,SCClip,IPM,global,False
120,91.07572115384616,SCClip,IPM,global,False
150,91.23597756410257,SCClip,IPM,global,False
180,91.54647435897436,SCClip,IPM,global,False
210,91.55649038461539,SCClip,IPM,global,False
240,91.89703525641026,SCClip,IPM,global,False
270,91.9170673076923,SCClip,IPM,global,False
300,92.0673076923077,SCClip,IPM,global,False
330,91.30608974358974,SCClip,IPM,global,False
360,91.80689102564102,SCClip,IPM,global,False
390,91.43629807692308,SCClip,IPM,global,False
420,91.6766826923077,SCClip,IPM,global,False
450,91.94711538461539,SCClip,IPM,global,False
480,90.87540064102564,SCClip,IPM,global,False
510,91.9170673076923,SCClip,IPM,global,False
540,91.51642628205128,SCClip,IPM,global,False
570,91.89703525641026,SCClip,IPM,global,False
600,91.50641025641026,SCClip,IPM,global,False
630,91.76682692307692,SCClip,IPM,global,False
660,91.55649038461539,SCClip,IPM,global,False
690,91.4863782051282,SCClip,IPM,global,False
720,91.07572115384616,SCClip,IPM,global,False
750,91.11578525641026,SCClip,IPM,global,False
780,91.54647435897436,SCClip,IPM,global,False
810,91.53645833333333,SCClip,IPM,global,False
840,91.89703525641026,SCClip,IPM,global,False
870,91.53645833333333,SCClip,IPM,global,False
0,81.28004807692308,SCClip,IPM,global,True
30,89.12259615384616,SCClip,IPM,global,True
60,90.44471153846153,SCClip,IPM,global,True
90,90.76522435897436,SCClip,IPM,global,True
120,90.625,SCClip,IPM,global,True
150,90.94551282051282,SCClip,IPM,global,True
180,91.26602564102564,SCClip,IPM,global,True
210,91.5264423076923,SCClip,IPM,global,True
240,91.60657051282051,SCClip,IPM,global,True
270,91.88701923076923,SCClip,IPM,global,True
300,91.42628205128206,SCClip,IPM,global,True
330,91.40625,SCClip,IPM,global,True
360,91.3661858974359,SCClip,IPM,global,True
390,91.77684294871794,SCClip,IPM,global,True
420,91.81690705128206,SCClip,IPM,global,True
450,91.99719551282051,SCClip,IPM,global,True
480,91.02564102564102,SCClip,IPM,global,True
510,91.73677884615384,SCClip,IPM,global,True
540,91.56650641025641,SCClip,IPM,global,True
